APD,MO,T,BKH,ED,DBD,DOV,BEN,LANC,NC,NWN,PPG,RPM,SWK,UBSI,UVV,WGL,ERIE,ESS,NNN,PRE
2/11/2008,4/10/2008,2/1/2008,3/1/2008,3/15/2008,3/7/2008,3/14/2008,4/11/2008,3/31/2008,3/14/2008,2/15/2008,3/12/2008,1/31/2008,3/25/2008,4/1/2008,2/11/2008,2/1/2008,4/18/2008,4/15/2008,2/15/2008,3/3/2008
11/12/2007,1/10/2008,11/1/2007,12/1/2007,12/15/2007,12/7/2007,12/15/2007,1/11/2008,12/28/2007,12/14/2007,11/15/2007,12/12/2007,10/31/2007,12/18/2007,1/2/2008,11/12/2007,11/1/2007,1/18/2008,1/15/2008,11/15/2007,12/3/2007
8/13/2007,10/10/2007,8/1/2007,9/1/2007,9/15/2007,9/7/2007,9/15/2007,10/12/2007,9/28/2007,9/14/2007,8/15/2007,9/12/2007,7/31/2007,9/25/2007,10/1/2007,8/13/2007,8/1/2007,10/19/2007,10/15/2007,8/15/2007,8/31/2007
5/14/2007,7/10/2007,5/1/2007,6/1/2007,6/15/2007,6/1/2007,6/15/2007,7/13/2007,6/29/2007,6/15/2007,5/15/2007,6/12/2007,4/30/2007,6/26/2007,7/2/2007,5/14/2007,5/1/2007,7/20/2007,7/16/2007,5/15/2007,6/1/2007
2/12/2007,4/10/2007,2/1/2007,3/1/2007,3/15/2007,3/9/2007,3/15/2007,4/13/2007,3/30/2007,3/15/2007,2/15/2007,3/12/2007,1/31/2007,3/27/2007,4/2/2007,2/12/2007,2/1/2007,4/20/2007,4/16/2007,2/15/2007,3/1/2007
11/13/2006,1/10/2007,11/1/2006,12/1/2006,12/15/2006,12/8/2006,12/15/2006,1/12/2007,12/29/2006,12/15/2006,11/15/2006,12/12/2006,10/31/2006,12/19/2006,1/2/2007,11/13/2006,11/1/2006,1/19/2007,1/15/2007,11/15/2006,12/1/2006
8/14/2006,10/10/2006,8/1/2006,9/1/2006,9/15/2006,9/8/2006,9/15/2006,10/13/2006,9/29/2006,9/15/2006,8/15/2006,9/12/2006,7/31/2006,9/26/2006,10/2/2006,8/14/2006,8/1/2006,10/20/2006,10/16/2006,8/15/2006,9/1/2006
5/8/2006,7/10/2006,5/1/2006,6/1/2006,6/15/2006,6/2/2006,6/15/2006,7/14/2006,6/30/2006,6/15/2006,5/15/2006,6/12/2006,4/28/2006,6/27/2006,7/3/2006,5/8/2006,5/1/2006,7/20/2006,7/14/2006,5/15/2006,6/1/2006
2/13/2006,4/10/2006,2/1/2006,3/1/2006,3/15/2006,3/10/2006,3/15/2006,4/13/2006,3/31/2006,3/15/2006,2/15/2006,3/10/2006,1/31/2006,3/28/2006,4/1/2006,2/13/2006,2/1/2006,4/20/2006,4/17/2006,2/15/2006,3/1/2006
11/14/2005,1/10/2006,11/1/2005,12/1/2005,12/15/2005,12/9/2005,12/15/2005,1/13/2006,12/30/2005,12/15/2005,11/15/2005,12/12/2005,10/31/2005,12/20/2005,1/3/2006,11/14/2005,11/1/2005,1/20/2006,1/13/2006,11/15/2005,12/1/2005
