APD,MO,T,BKH,ED,DBD,DOV,BEN,LANC,NC,NWN,PPG,RPM,SWK,UBSI,UVV,WGL,ERIE,ESS,NNN,PRE
0.23,0.68,0.3125,0.31,0.565,0.185,0.15,0.085,0.23,0.39,0.325,0.45,0.14,0.26,0.25,0.39,0.325,0.215,0.79,0.32,0.34
0.23,0.68,0.3825,0.31,0.565,0.185,0.15,0.085,0.23,0.38,0.325,0.44,0.14,0.26,0.25,0.39,0.32,0.215,0.79,0.32,0.34
0.23,0.68,0.3825,0.3,0.56,0.17,0.15,0.085,0.23,0.38,0.325,0.44,0.14,0.26,0.25,0.36,0.32,0.215,0.78,0.32,0.31
0.23,0.68,0.3325,0.3,0.56,0.17,0.15,0.075,0.2,0.38,0.315,0.43,0.13,0.26,0.25,0.36,0.32,0.19,0.78,0.32,0.31
0.21,0.68,0.27,0.3,0.56,0.17,0.135,0.075,0.2,0.255,0.315,0.43,0.13,0.255,0.25,0.36,0.32,0.19,0.78,0.32,0.29
0.21,0.64,0.27,0.3,0.56,0.17,0.135,0.075,0.2,0.245,0.315,0.43,0.13,0.255,0.25,0.36,0.3175,0.19,0.78,0.32,0.29
0.21,0.64,0.27,0.29,0.555,0.165,0.135,0.075,0.2,0.245,0.315,0.43,0.13,0.255,0.25,0.34,0.3175,0.19,0.77,0.32,0.29
0.21,0.64,0.27,0.29,0.555,0.165,0.135,0.07,0.18,0.245,0.315,0.41,0.125,0.255,0.24,0.34,0.3175,0.17,0.77,0.32,0.29
0.2,0.58,0.2563,0.29,0.555,0.165,0.135,0.07,0.18,0.245,0.315,0.42,0.125,0.24,0.23,0.34,0.3175,0.17,0.77,0.315,0.29
0.2,0.58,0.2563,0.29,0.555,0.165,0.135,0.07,0.18,0.235,0.315,0.42,0.125,0.24,0.23,0.34,0.315,0.17,0.77,0.315,0.28
0.2,0.58,0.2565,0.28,0.55,0.16,0.135,0.07,0.18,0.235,0.315,0.42,0.125,0.24,0.23,0.32,0.315,0.17,0.7,0.315,0.28
0.2,0.53,0.2563,0.28,0.55,0.16,0.135,0.065,0.17,0.235,0.31,0.42,0.125,0.24,0.23,0.32,0.315,0.1525,0.7,0.315,0.28
0.19,0.53,0.2538,0.28,0.55,0.16,0.125,0.065,0.17,0.235,0.31,0.42,0.125,0.23,0.23,0.32,0.315,0.1525,0.7,0.315,0.28
0.19,0.53,0.2538,0.28,0.55,0.16,0.125,0.065,0.17,0.225,0.31,0.42,0.125,0.23,0.22,0.32,0.31,0.1525,0.7,0.315,0.26
0.19,0.53,,0.27,0.545,0.155,0.125,0.065,0.17,0.225,0.31,0.4,0.125,0.23,0.21,0.31,0.31,0.1525,0.5938,0.315,0.26
,,,0.27,0.545,0.155,0.125,0.06,0.16,0.225,,0.4,,0.23,0.21,,,0.135,0.61,,0.26
,,,,0.545,,,,,,,,,,,,,,,,
,,,,0.535,,,,,,,,,,,,,,,,
,,,,0.535,,,,,,,,,,,,,,,,
,,,,0.535,,,,,,,,,,,,,,,,
,,,,0.535,,,,,,,,,,,,,,,,
,,,,0.53,,,,,,,,,,,,,,,,
,,,,0.53,,,,,,,,,,,,,,,,
,,,,0.53,,,,,,,,,,,,,,,,
,,,,0.53,,,,,,,,,,,,,,,,
,,,,0.525,,,,,,,,,,,,,,,,
,,,,0.525,,,,,,,,,,,,,,,,
,,,,0.525,,,,,,,,,,,,,,,,
,,,,0.525,,,,,,,,,,,,,,,,
,,,,0.52,,,,,,,,,,,,,,,,
,,,,0.52,,,,,,,,,,,,,,,,
,,,,0.52,,,,,,,,,,,,,,,,
,,,,0.52,,,,,,,,,,,,,,,,
,,,,0.51,,,,,,,,,,,,,,,,
,,,,0.51,,,,,,,,,,,,,,,,
,,,,0.51,,,,,,,,,,,,,,,,
,,,,0.51,,,,,,,,,,,,,,,,
,,,,0.5,,,,,,,,,,,,,,,,
,,,,0.5,,,,,,,,,,,,,,,,
,,,,0.5,,,,,,,,,,,,,,,,
,,,,0.5,,,,,,,,,,,,,,,,
,,,,0.485,,,,,,,,,,,,,,,,
,,,,0.485,,,,,,,,,,,,,,,,
,,,,0.485,,,,,,,,,,,,,,,,
,,,,0.485,,,,,,,,,,,,,,,,
,,,,0.475,,,,,,,,,,,,,,,,
,,,,0.475,,,,,,,,,,,,,,,,
,,,,0.475,,,,,,,,,,,,,,,,
,,,,0.475,,,,,,,,,,,,,,,,
,,,,0.465,,,,,,,,,,,,,,,,
,,,,0.465,,,,,,,,,,,,,,,,
,,,,0.465,,,,,,,,,,,,,,,,
,,,,0.465,,,,,,,,,,,,,,,,
,,,,0.455,,,,,,,,,,,,,,,,
,,,,0.455,,,,,,,,,,,,,,,,
,,,,0.455,,,,,,,,,,,,,,,,
,,,,0.455,,,,,,,,,,,,,,,,
,,,,0.43,,,,,,,,,,,,,,,,
,,,,0.43,,,,,,,,,,,,,,,,
